"metric" "n_bands" "simulation" "p" "method" "value"
"lambda" "10" "8" "25" "LASSO" 0
"lambdar0" "10" "8" "25" "LASSO" 0
"kappa" "10" "8" "25" "LASSO" 0
"condnum" "10" "8" "25" "LASSO" 24.8690282295544
"EL" "10" "8" "25" "LASSO" 0.0991035820642274
"RMSE" "10" "8" "25" "LASSO" 0.00559628904545687
"F1" "10" "8" "25" "LASSO" 1
"eTPR" "10" "8" "25" "LASSO" 1
"eTNR" "10" "8" "25" "LASSO" 1
"ePPV" "10" "8" "25" "LASSO" 1
"d" "10" "8" "25" "LASSO" 0.65
"iters" "10" "8" "25" "LASSO" 14
"time.user.self" "10" "8" "25" "LASSO" 0.0100000000020373
"time.sys.self" "10" "8" "25" "LASSO" 0
"time.elapsed" "10" "8" "25" "LASSO" 0
"time.user.child" "10" "8" "25" "LASSO" NA
"time.sys.child" "10" "8" "25" "LASSO" NA
"cv.iters" "10" "8" "25" "LASSO" NA
"cv.time.user.self" "10" "8" "25" "LASSO" 0.00370000000031723
"cv.time.sys.self" "10" "8" "25" "LASSO" 0
"cv.time.elapsed" "10" "8" "25" "LASSO" 0.00380000000004657
"cv.time.user.child" "10" "8" "25" "LASSO" NA
"cv.time.sys.child" "10" "8" "25" "LASSO" NA
"cv.all.time.user.self" "10" "8" "25" "LASSO" 0.370000000031723
"cv.all.time.sys.self" "10" "8" "25" "LASSO" 0
"cv.all.time.elapsed" "10" "8" "25" "LASSO" 0.380000000004657
"cv.all.time.user.child" "10" "8" "25" "LASSO" NA
"cv.all.time.sys.child" "10" "8" "25" "LASSO" NA
"n.cv.par" "10" "8" "25" "LASSO" 20
"lambda" "3" "9" "25" "LASSO" 0
"lambdar0" "3" "9" "25" "LASSO" 0
"kappa" "3" "9" "25" "LASSO" 0
"condnum" "3" "9" "25" "LASSO" 25.8582181228983
"EL" "3" "9" "25" "LASSO" 0.0495304552938798
"RMSE" "3" "9" "25" "LASSO" 0.00228635271334185
"F1" "3" "9" "25" "LASSO" 1
"eTPR" "3" "9" "25" "LASSO" 1
"eTNR" "3" "9" "25" "LASSO" 1
"ePPV" "3" "9" "25" "LASSO" 1
"d" "3" "9" "25" "LASSO" 0.23
"iters" "3" "9" "25" "LASSO" 11
"time.user.self" "3" "9" "25" "LASSO" 0.0199999999999818
"time.sys.self" "3" "9" "25" "LASSO" 0
"time.elapsed" "3" "9" "25" "LASSO" 0
"time.user.child" "3" "9" "25" "LASSO" NA
"time.sys.child" "3" "9" "25" "LASSO" NA
"cv.iters" "3" "9" "25" "LASSO" NA
"cv.time.user.self" "3" "9" "25" "LASSO" 0.00269999999999868
"cv.time.sys.self" "3" "9" "25" "LASSO" 0
"cv.time.elapsed" "3" "9" "25" "LASSO" 0.00339999999996508
"cv.time.user.child" "3" "9" "25" "LASSO" NA
"cv.time.sys.child" "3" "9" "25" "LASSO" NA
"cv.all.time.user.self" "3" "9" "25" "LASSO" 0.269999999999868
"cv.all.time.sys.self" "3" "9" "25" "LASSO" 0
"cv.all.time.elapsed" "3" "9" "25" "LASSO" 0.339999999996508
"cv.all.time.user.child" "3" "9" "25" "LASSO" NA
"cv.all.time.sys.child" "3" "9" "25" "LASSO" NA
"n.cv.par" "3" "9" "25" "LASSO" 20
"lambda" "10" "9" "25" "LASSO" 0
"lambdar0" "10" "9" "25" "LASSO" 0
"kappa" "10" "9" "25" "LASSO" 0
"condnum" "10" "9" "25" "LASSO" 26.4918660409388
